Melt gden,Temp,Press,Speed
7.660 ,261.8 ,"1,366 ",495 
7.905 ,261.9 ,"1,377 ",495 
7.674 ,261.8 ,"1,382 ",495 
7.566 ,262.0 ,"1,400 ",495 
7.891 ,262.0 ,"1,410 ",495 
7.599 ,261.9 ,"1,439 ",495 
7.722 ,262.2 ,"1,511 ",490 
7.543 ,262.0 ,"1,530 ",490 
7.694 ,262.0 ,"1,230 ",490 
7.886 ,261.6 ,"1,244 ",490 
7.920 ,216.5 ,"1,254 ",490 
8.386 ,262.0 ,"1,250 ",490 
8.001 ,262.0 ,"1,250 ",490 
7.734 ,262.0 ,"1,254 ",495 
7.973 ,261.9 ,"1,262 ",495 
7.719 ,261.8 ,"1,270 ",495 
7.663 ,262.0 ,"1,272 ",495 
7.740 ,262.0 ,"1,278 ",495 
8.073 ,261.8 ,"1,280 ",495 
7.988 ,261.9 ,"1,284 ",495 
7.657 ,262.0 ,"1,289 ",495 
7.648 ,262.0 ,"1,289 ",495 
7.583 ,262.0 ,"1,317 ",495 
7.763 ,261.8 ,"1,333 ",495 
7.622 ,261.9 ,"1,336 ",495 
7.683 ,261.9 ,"1,340 ",495 
7.759 ,262.0 ,"1,345 ",495 
7.957 ,262.0 ,"1,352 ",495 
7.612 ,262.0 ,"1,360 ",495 
7.948 ,261.9 ,"1,393 ",495 
7.949 ,261.9 ,"1,410 ",500 
7.589 ,265.5 ,"1,060 ",470 
7.597 ,265.6 ,"1,079 ",470 
8.465 ,265.5 ,"1,085 ",470 
7.948 ,265.5 ,"1,085 ",470 
8.100 ,265.5 ,"1,094 ",470 
8.584 ,265.6 ,"1,092 ",470 
7.695 ,265.6 ,"1,107 ",475 
8.385 ,265.6 ,"1,111 ",475 
8.389 ,265.6 ,"1,116 ",475 
8.560 ,265.6 ,"1,120 ",475 
8.470 ,265.6 ,"1,120 ",475 
7.865 ,265.5 ,"1,115 ",475 
8.593 ,265.5 ,"1,114 ",475 
