Lot NO,Melt No,Melt Denier,Melt g/den,Melt (%),Melt (gf),Melt Weight(g),Melt temp,Pack Press (psi),"1 G/R Speed
(mpm)","Batch
No.","Spool
No.",Coating Straight,"Coating
EP","Coating
USP","Coating
Knot security","Coating
Diameter","Coating
Tie-down",Fast 1W Avg,Fast 1W Min ,Fast 1W %,Moisture
,5,91,7.816,33.57,711,"1,349",260.9,"1,079",495,3rd-2,90,,7.88,,6.49,0.481,,5.66,5.35,72%,
,6,90.4,7.889,33.52,713,"1,341",261,"1,080",495,4th,114,,7.95,,6.31,0.489,,5.47,5.28,69%,
,7,90.5,7.76,32.67,702,"1,342",260.8,"1,078",495,,,,,,,,,,,,
,8,90,8.082,34.96,727,"1,343",260.8,"1,062",495,,,,,,,,,,,,
,9,91,7.596,34.71,691,"1,342",261,"1,065",495,,,,,,,,,,,,
,10,90.5,7.613,34.69,689,"1,346",260.8,"1,080",495,,,,,,,,,,,,
,11,90.5,7.603,33.57,688,"1,340",260.7,"1,042",490,,,,,,,,,,,,
,12,90.3,7.876,35.28,711,"1,347",260.7,"1,043",490,,,,,,,,,,,,
,13,90,7.864,36.25,707,"1,343",260.8,"1,043",490,,,,,,,,,,,,
,14,90.2,7.988,35.44,720,"1,338",260.8,"1,053",490,,,,,,,,,,,,
,15,90,7.764,33.77,699,"1,346",260.9,"1,050",490,,,,,,,,,,,,
,16,90.5,7.559,34.94,684,"1,346",260.9,"1,065",490,,,,,,,,,,,,
,17,90.5,7.731,35.76,700,"1,349",260.8,"1,065",490,,,,,,,,,,,,
,18,90.6,7.79,36.53,706,"1,348",260.9,"1,060",490,,,,,,,,,,,,
,19,91.5,7.733,32.89,708,"1,348",260.8,"1,057",485,,,,,,,,,,,,
,20,90,7.786,34.42,701,"1,334",260.8,"1,061",485,,,,,,,,,,,,
,21,90.5,7.955,29.75,722,"1,352",260.5,"1,067",485,,,,,,,,,,,,
,22,91,8.109,32.61,738,"1,349",260.8,"1,072",485,,,,,,,,,,,,
TSSR12206V018,1,90.6,7.962,32.76,721,"1,349",260.8,"1,070",480,1st-1,8,13.41,8.08,7.32,6.98,0.482,0.97,5.75,5.43,71%,61
,2,91,7.893,30.22,718,"1,349",261.1,"1,064",480,1st-2,26,,8.43,,6.34,0.489,,5.55,5.28,66%,138
,3,90.5,7.769,32.91,703,"1,348",261.1,"1,068",480,2nd-1,58,,8.28,,6.73,0.476,,5.83,5.13,70%,133
,4,90.5,7.9,30.89,715,"1,346",261,"1,070",480,2nd-2,64,,8.25,,6.54,0.487,,5.85,5.64,71%,
,5,90.5,7.937,32.09,719,"1,347",261,"1,070",480,3rd,90,,8.03,,6.76,0.486,,5.68,5.06,71%,
,6,90.1,7.989,31.41,719,"1,329",260.9,"1,067",480,4th-1,106,,8.28,,6.52,0.49,,6.14,5.97,74%,
,7,90.5,7.587,31.32,686,"1,343",261,"1,066",480,4th-2,122,,8.32,,6.25,0.477,,5.94,5.68,71%,
,8,91,7.679,32.76,699,"1,346",261,"1,070",480,,,,,,,,,,,,
,9,90,8.307,32.88,748,"1,348",261,"1,071",480,,,,,,,,,,,,
,10,90.4,7.861,32.14,711,"1,346",261,"1,085",480,,,,,,,,,,,,
,11,91,7.705,31.98,701,"1,345",261,"1,070",480,,,,,,,,,,,,
,12,91,7.964,31.88,725,"1,343",261,"1,114",480,,,,,,,,,,,,
,13,90,8.163,32.35,734,"1,341",260.9,"1,123",480,,,,,,,,,,,,
,14,90,7.733,30.63,696,"1,344",261,"1,127",480,,,,,,,,,,,,
,15,90,7.905,32.7,711,"1,344",261,"1,128",480,,,,,,,,,,,,
,16,90.5,8.199,33.63,742,"1,344",261,"1,130",480,,,,,,,,,,,,
,17,90.8,7.873,32.29,715,"1,343",261,"1,132",480,,,,,,,,,,,,
,18,90,8.147,32.38,734,"1,331",261.1,"1,120",480,,,,,,,,,,,,
,19,90.1,7.709,31.45,695,"1,343",261,"1,160",480,,,,,,,,,,,,
,20,90,8.44,33.2,760,"1,341",261,"1,169",480,,,,,,,,,,,,
,21,90.5,8.091,35.49,732,"1,343",260.9,"1,173",480,,,,,,,,,,,,
,22,91,7.905,33.39,719,"1,344",260.9,"1,170",480,,,,,,,,,,,,
TSSR12206V019,1,90.5,8.026,31.82,727,"1,342",261,"1,184",480,1st,26,13.1,8.04,7.15,6.3,0.492,1,5.44,5.09,68%,171
,2,91,8.251,32.39,751,"1,340",261,"1,210",480,2nd,50,,8.14,,7.2,0.489,,5.91,5.65,73%,169
,3,90,7.793,31.61,701,"1,336",261,"1,215",480,3rd-1,74,,8.16,,6.81,0.479,,5.78,5.53,71%,
,4,90,7.79,31.3,691,"1,331",261,"1,228",480,3rd-2,96,,8.18,,7,0.488,,5.78,5.52,71%,
,5,90.1,8.071,31.64,727,"1,332",260.9,"1,241",480,4th,106,,8.31,,6.98,0.489,,6.32,5.88,76%,
,6,90,8.271,33.14,745,"1,331",261,"1,252",480,,,,,,,,,,,,
,7,90,8.229,33.04,740,"1,334",261,"1,260",480,,,,,,,,,,,,
,8,90.6,8.324,32.72,754,"1,339",261,"1,271",480,,,,,,,,,,,,
,9,90.1,7.92,30.86,714,"1,339",261,"1,286",480,,,,,,,,,,,,
,10,90,7.762,33.33,699,"1,334",261,"1,300",480,,,,,,,,,,,,
,11,90.5,8.549,32.35,773,"1,347",260.9,"1,323",480,,,,,,,,,,,,
,12,90.5,7.582,31.76,686,"1,347",260.9,"1,325",480,,,,,,,,,,,,
,13,90.4,7.891,33.88,713,"1,333",260.6,"1,336",480,,,,,,,,,,,,
,14,90.5,7.958,31.45,720,"1,332",260.6,"1,570",480,,,,,,,,,,,,
,15,90.5,8.118,31.39,734,"1,349",260.5,"1,185",485,,,,,,,,,,,,
,16,90.7,7.798,31.25,707,"1,352",260.6,"1,180",485,,,,,,,,,,,,
,17,90.5,8.168,30.93,739,"1,353",260.6,"1,175",485,,,,,,,,,,,,
,18,90.5,7.701,31.41,697,"1,352",260.5,"1,170",485,,,,,,,,,,,,
,19,90.5,7.823,33.74,708,"1,352",260.5,"1,170",485,,,,,,,,,,,,
,20,90.5,8.087,33.26,732,"1,350",260.6,"1,141",485,,,,,,,,,,,,
,21,90.5,8.329,33.87,758,332,260.3,"1,139",485,,,,,,,,,,,,
,22,91,8.065,34.41,734,787,260.6,"1,140",485,,,,,,,,,,,,
TSSR12207V001,1,90.5,7.752,31.2,701,674,260.4,"1,170",470,1st,6,13.35,8.21,7.24,6.84,0.492,0.8,5.88,5.82,72%,83
,2,91,7.778,31.59,708,"1,351",260.6,"1,192",470,2nd,43,,8.21,,6.56,0.486,,5.39,5.21,66%,57
,3,91,7.718,29.21,702,"1,352",260.5,"1,226",470,3rd-1,53,,7.96,,6.52,0.478,,5.69,5.22,71%,
,4,90,8.401,29.46,757,"1,353",260.5,"1,233",470,3rd-2,67,,7.79,,6.56,0.481,,5.79,5.52,74%,
,5,91.5,8.117,33.32,743,"1,353",260.5,"1,278",475,,,,,,,,,,,,
,6,91,7.983,30.91,726,"1,351",260.6,"1,290",475,,,,,,,,,,,,
,7,90.5,8.27,29.16,748,"1,351",260.4,"1,300",475,,,,,,,,,,,,
,8,90.5,7.863,33.88,711,643,260,"1,287",495,,,,,,,,,,,,
,9,91,8.119,35.14,739,953,260.1,"1,293",495,,,,,,,,,,,,
TSSR12207V002,1,91,7.804,30.38,710,"1,312",259,"1,221",460,1st,2,13.26,8.28,7.56,6.76,0.488,0.69,5.75,5.44,69%,157
,2,90.5,8.368,32.53,757,"1,339",259.4,"1,222",465,2nd-1,26,,8.46,,6.72,0.486,,5.85,5.43,69%,149
,3,90,8.267,31.93,744,"1,335",259.4,"1,234",465,2nd-2,48,,7.84,,6.8,0.488,,5.56,5.29,71%,
,4,90.5,8.295,30.51,751,"1,331",259.6,"1,243",465,3rd,74,,8.17,,7.18,0.487,,5.37,5.14,66%,
,5,90.7,8.069,31.21,732,725,259.4,"1,246",465,4th,94,,8.09,,6.11,0.483,,5.63,5.15,70%,
,6,90,8.302,32.38,747,"1,343",259.5,"1,250",465,,,,,,,,,,,,
,7,91,8.149,32.64,742,"1,348",259.5,"1,248",465,,,,,,,,,,,,
,8,91,7.916,30.94,720,"1,348",259.5,"1,246",465,,,,,,,,,,,,
,9,91,8.302,32.25,755,"1,346",259.4,"1,256",465,,,,,,,,,,,,
,10,90.5,8.094,32.22,732,"1,347",259.4,"1,250",465,,,,,,,,,,,,
,11,90.5,8.136,30.78,736,"1,351",259.5,"1,238",465,,,,,,,,,,,,
,12,90,8.436,31.67,759,"1,349",259.5,"1,240",465,,,,,,,,,,,,
,13,91,8.294,30.57,755,"1,347",259.8,"1,254",470,,,,,,,,,,,,
,14,90.5,7.832,30.72,709,"1,348",259.3,"1,264",470,,,,,,,,,,,,
,15,91,8.094,31.87,737,225,259.3,"1,264",470,,,,,,,,,,,,
,16,91,7.953,32.8,724,"1,344",259.3,"1,248",470,,,,,,,,,,,,
,17,91,7.941,30.28,722,177,259.3,"1,248",470,,,,,,,,,,,,
,18,91,8.031,34.35,731,365,259.3,"1,248",470,,,,,,,,,,,,
,19,91,8.012,37.11,729,"1,341",259.3,"1,240",475,,,,,,,,,,,,
,20,90.5,8.156,32.32,738,"1,353",259.3,"1,242",475,,,,,,,,,,,,
TSSR12207V003,1,91,7.917,34.31,720,"1,344",259.7,"1,280",475,1st,26,13.21,8.11,7.25,6.38,0.491,1.09,5.58,5.32,69%,59
,2,90,7.772,32.87,699,"1,346",259.9,"1,292",475,2nd,58,,8.19,,6.44,0.485,,5.55,5.15,68%,80
,3,90.5,7.57,31.12,685,"1,343",259.9,"1,290",475,3rd-1,74,,8.19,,6.43,0.491,,5.73,5.33,70%,
,4,90,7.721,33.81,695,"1,342",259.8,"1,290",475,3rd-2,90,,8.25,,5.99,0.485,,5.7,5.5,69%,
,5,91.3,7.902,33.23,721,"1,339",259.8,"1,225",465,,,,,,,,,,,,
,6,90.6,7.648,29.39,693,"1,338",259.6,"1,273",465,,,,,,,,,,,,
,7,90.3,7.864,33.08,711,"1,339",259.8,"1,278",475,,,,,,,,,,,,
,8,90.5,7.773,31.31,704,"1,341",259.8,"1,280",475,,,,,,,,,,,,
,9,90,7.834,30.69,705,"1,341",259.8,"1,280",475,,,,,,,,,,,,
,10,91,7.931,33.06,721,794,259.7,"1,283",475,,,,,,,,,,,,
,11,91,7.8,29.52,710,"1,348",259.7,"1,278",475,,,,,,,,,,,,
,12,90.5,8.093,34.03,732,"1,343",259.7,"1,280",475,,,,,,,,,,,,
,13,91,7.936,33.33,722,"1,341",259.7,"1,281",475,,,,,,,,,,,,
,14,90.5,8.33,30.98,754,"1,343",259.6,"1,280",475,,,,,,,,,,,,
,15,90.5,7.656,30.14,693,"1,344",259.7,"1,275",475,,,,,,,,,,,,
,16,91,7.839,28.53,714,"1,349",259.4,"1,262",475,,,,,,,,,,,,
,17,91,8.523,25.28,776,"1,082",259.4,"1,265",475,,,,,,,,,,,,
TSSR12207V004,1,90.5,7.826,27.53,708,"1,340",259.8,"1,078",435,1st,18,12.42,8.28,7.19,6.39,0.481,0.99,5.37,5.08,65%,183
,2,90.5,7.791,25.19,706,"1,350",259.7,"1,110",435,2nd,42,,8.46,,6.36,0.491,,5.57,5.18,66%,197
,3,90.5,8.297,25.67,757,"1,344",259.6,"1,130",435,3rd-1,72,,8.14,,6.35,0.494,,5.57,5.29,68%,168
,4,90.5,8.381,26.9,758,"1,340",259.7,"1,134",435,3rd-2,90,,8.46,,6.6,0.49,,5.54,5.17,65%,
,5,90.5,8.115,29.2,734,"1,347",259.6,"1,131",435,4th,122,,8.22,,6.8,0.484,,5.98,4.94,73%,
,6,91,8.493,23.09,773,"1,348",259.5,"1,156",435,,,,,,,,,,,,
,7,91.5,8.023,24.53,734,"1,340",259.6,"1,169",455,,,,,,,,,,,,
,8,90.2,7.849,28.14,708,"1,337",259.6,"1,170",455,,,,,,,,,,,,
,9,90,7.76,30.3,699,369,259.5,"1,176",455,,,,,,,,,,,,
,10,90.5,7.712,28.97,698,"1,325",259.5,"1,180",455,,,,,,,,,,,,
,11,90,8.207,29.16,739,"1,342",259.5,"1,183",455,,,,,,,,,,,,
,12,91,8.326,27.93,758,"1,346",259.5,"1,183",455,,,,,,,,,,,,
,13,90.3,8.312,27.61,750,"1,334",259.5,"1,194",455,,,,,,,,,,,,
,14,90.5,7.689,29.64,696,"1,339",259.5,"1,194",465,,,,,,,,,,,,
,15,90,7.701,29.56,693,"1,346",259.5,"1,199",465,,,,,,,,,,,,
,16,90.2,8.01,29.27,722,"1,344",259.7,"1,205",465,,,,,,,,,,,,
,17,90.2,8.323,30.87,751,"1,341",259.6,"1,207",465,,,,,,,,,,,,
,18,90.5,7.919,30.09,716,"1,345",259.5,"1,210",465,,,,,,,,,,,,
,19,91,8.592,29.8,782,"1,342",259.5,"1,214",465,,,,,,,,,,,,
,20,91,8.094,28.18,737,"1,335",259.5,"1,220",465,,,,,,,,,,,,
,21,90.5,8.047,29.07,728,"1,342",259.5,"1,222",465,,,,,,,,,,,,
,22,90.5,8.335,30.82,754,"1,342",259.6,"1,222",465,,,,,,,,,,,,
,23,91,7.977,32.2,726,"1,348",259.5,"1,233",465,,,,,,,,,,,,
TSSR12207V005,1,90.5,7.792,29.53,705,"1,341",259.1,"1,241",470,1st,2,13.63,8.29,7.34,6.27,0.484,0.92,5.64,5.29,68%,144
,2,91,7.967,31.7,725,"1,347",259.1,"1,240",470,2nd,34,,8.03,,6.49,0.487,,5.84,5.65,73%,166
,3,90.5,7.851,30.11,711,"1,342",259.5,"1,240",470,3rd,66,,8.43,,6.89,0.485,,5.45,5.19,65%,165
,4,90.5,7.773,30.56,704,"1,340",259.5,"1,240",470,4th-1,76,,8.05,,6.8,0.485,,5.64,5.5,70%,
,5,90.5,8.016,31.66,725,"1,346",259.6,"1,228",470,4th-2,90,,8.03,,6.62,0.48,,5.68,5.37,71%,
,6,90.5,7.83,27.81,709,"1,346",259.5,"1,237",470,5th-1,112,,7.96,,6.32,0.485,,5.61,5.32,70%,
,7,90.5,7.869,30.98,712,"1,339",259.5,"1,234",470,5th-2,114,,7.87,,6.57,0.482,,5.63,5.43,72%,
,8,90.3,8.089,32.19,730,"1,312",259.5,"1,234",470,,,,,,,,,,,,
,9,90.3,7.764,31.56,701,"1,327",259.7,"1,250",470,,,,,,,,,,,,
,10,90.5,7.762,30.07,702,"1,336",259.7,"1,267",470,,,,,,,,,,,,
,11,90.7,7.878,30.16,714,"1,323",259.6,"1,265",470,,,,,,,,,,,,
,12,90.3,7.767,31.06,701,"1,323",259.6,"1,264",475,,,,,,,,,,,,
,13,90.5,7.632,30.32,691,"1,335",259.6,"1,277",475,,,,,,,,,,,,
,14,90,7.797,32.19,702,"1,329",259.5,"1,280",475,,,,,,,,,,,,
,15,90.2,7.738,31.91,698,"1,333",259.5,"1,282",475,,,,,,,,,,,,
,16,90,7.826,31.43,705,"1,326",259.6,"1,277",475,,,,,,,,,,,,
,17,90.5,7.906,30.57,715,"1,323",259.5,"1,285",475,,,,,,,,,,,,
,18,90.4,7.833,32.36,708,"1,341",259.5,"1,272",475,,,,,,,,,,,,
,19,90.7,7.748,32.48,703,"1,339",259.9,"1,277",475,,,,,,,,,,,,
,20,90.7,8.3,28.3,756,"1,337",259.9,"1,290",475,,,,,,,,,,,,
,21,90.2,7.807,32.08,704,"1,334",259.5,"1,247",470,,,,,,,,,,,,
,22,90.5,7.862,27.07,712,351,259.5,"1,248",470,,,,,,,,,,,,
,23,90,8.057,31.86,725,"1,337",259.5,"1,302",470,,,,,,,,,,,,
TSSR12207V006,1,91,7.976,31.89,726,"1,335",259.5,"1,453",465,1st,12,13.55,8.08,7.03,6.59,0.484,0.77,5.72,5.48,71%,95
,2,90,7.854,28.51,707,"1,327",259.5,"1,478",465,2nd-1,18,,8.13,,6.77,0.493,,5.61,5.11,69%,140
,3,90,7.896,29.22,711,"1,340",259.5,"1,489",465,2nd-2,22,,7.82,,6.34,0.492,,5.76,5.5,74%,138
,4,90.2,7.719,32.77,696,426,259.5,"1,190",480,3rd-1,52,,8.05,,6.17,0.488,,5.58,5.34,69%,
,5,91,7.887,32.11,717,"1,345",259.4,"1,214",480,3rd-2,70,,7.85,,6.44,0.492,,5.52,5.12,70%,
,6,90.1,7.997,31.38,720,"1,352",259.4,"1,214",480,4th,102,,7.61,,6.38,0.481,,5.67,5.1,75%,
,7,91.3,7.746,30.31,707,"1,352",259.4,"1,228",480,5th,126,,8.1,,6.64,0.494,,5.4,4.96,67%,
,8,90.7,7.745,31.31,702,"1,343",259.5,"1,222",480,6th,142,,7.88,,6.79,0.483,,5.83,5.38,74%,
,9,90,8.408,33.16,757,"1,352",259.5,"1,220",480,,,,,,,,,,,,
,10,91,7.661,33.4,697,"1,344",259.5,"1,200",480,,,,,,,,,,,,
,11,91,7.972,32.55,725,"1,351",259.5,"1,210",480,,,,,,,,,,,,
,12,91,7.535,33.59,686,"1,351",259.5,"1,210",480,,,,,,,,,,,,
,13,90.5,7.702,31.34,697,"1,350",259.5,"1,211",480,,,,,,,,,,,,
,14,91,7.931,30.67,722,"1,350",259.5,"1,220",470,,,,,,,,,,,,
,15,91,7.793,30.12,709,"1,354",259.5,"1,145",450,,,,,,,,,,,,
,16,91,8.016,27.03,723,"1,359",259.6,"1,123",450,,,,,,,,,,,,
,17,90,7.636,29.7,695,"1,351",259.2,"1,165",455,,,,,,,,,,,,
,18,90.5,7.879,27.93,713,"1,351",259.4,"1,145",455,,,,,,,,,,,,
,19,90.5,7.897,28.83,714,"1,353",259.5,"1,144",455,,,,,,,,,,,,
,20,91.5,7.67,29.76,702,"1,351",259.5,"1,148",455,,,,,,,,,,,,
,21,90,7.997,31.31,720,"1,049",259.5,"1,193",455,,,,,,,,,,,,
,22,91,8.205,28.74,747,"1,353",259.5,"1,175",455,,,,,,,,,,,,
,23,90.7,8.136,32.65,737,"1,346",259.5,"1,165",455,,,,,,,,,,,,
,24,91,7.618,27.89,693,"1,346",259.5,"1,170",455,,,,,,,,,,,,
,25,90.7,7.829,29.06,710,"1,347",259.5,"1,166",455,,,,,,,,,,,,
,26,90,8.316,28.96,748,"1,352",259.5,"1,155",455,,,,,,,,,,,,
,27,90,8.396,28.84,756,735,259.5,"1,155",455,,,,,,,,,,,,
TSSR12207V007,1,88,8.726,30.93,768,"1,302",265.2,"1,350",495,1st-1,4,13.35,7.94,7.59,6.6,0.48,0.8,6.08,5.89,77%,66
,2,92,7.988,32.66,735,"1,368",,,,1st-2,26,,7.9,,6.68,0.482,,5.96,5.75,75%,105
,3,90,7.924,27.21,717,"1,348",265,"1,375",495,2nd,50,,7.85,,7.04,0.489,,6,5.81,76%,
,4,91,8.242,31.47,747,"1,355",,,,3rd,80,,8.29,,6.88,0.498,,6.14,5.87,74%,
,5,90.5,7.62,29.91,690,"1,312",265.1,"1,380",495,,,,,,,,,,,,
,6,90.5,8.268,28.26,748,"1,325",,,,,,,,,,,,,,,
,7,90.5,7.701,31.7,697,"1,357",266.1,"1,345",490,,,,,,,,,,,,
,8,91,7.545,32.01,653,"1,354",,,,,,,,,,,,,,,
,9,91,7.914,29.35,720,"1,360",266.1,"1,348",480,,,,,,,,,,,,
,10,91,8.241,32.7,750,"1,360",,,,,,,,,,,,,,,
,11,91,7.706,29.99,701,"1,352",266.2,"1,356",480,,,,,,,,,,,,
,12,91,7.675,29.46,699,"1,355",,,,,,,,,,,,,,,
,13,90,8.388,29.6,755,"1,363",266.2,"1,355",475,,,,,,,,,,,,
,14,90,8.619,31.89,776,"1,343",,,,,,,,,,,,,,,
,15,90,7.991,28,719,109,268,"1,320",470,,,,,,,,,,,,
,16,91,8.023,30.77,730,106,,,,,,,,,,,,,,,
,17,91,8.125,27.53,739,357,268,"1,324",470,,,,,,,,,,,,
,18,91,8,30.73,728,536,,,,,,,,,,,,,,,
,19,91,7.956,29.34,724,"1,185",268.1,"1,333",470,,,,,,,,,,,,
,20,91,7.971,28.39,725,"1,175",,,,,,,,,,,,,,,
TSSR12207V008,1,90,7.89,28.55,710,"1,048",262.5,"1,272",430,1st,6,13.66,7.88,6.7,6.71,0.485,0.84,5.46,5.36,69%,49
,2,90.3,7.995,27.82,722,"1,339",262.3,"1,300",430,2nd-1,28,,7.87,,6.67,0.474,,5.74,5.51,73%,51
,3,90,7.543,24.48,679,"1,333",262.5,"1,315",435,2nd-2,38,,8.02,,6.35,0.481,,5.39,4.93,67%,82
,4,90.5,7.951,28.5,720,"1,283",262.5,"1,345",445,3rd,70,,7.92,,6.54,0.492,,5.38,5.16,68%,
,5,90,8.018,27.74,722,"1,336",262.5,"1,366",445,4th,102,,7.96,,6.85,0.481,,5.72,5.21,72%,
,6,90,7.792,26.77,701,"1,319",262.5,"1,375",445,5th,112,,7.49,,6.69,0.479,,5.62,5.41,75%,
,7,90.2,8.313,29.29,750,"1,340",262.4,"1,382",445,,,,,,,,,,,,
,8,91,7.816,28.46,711,"1,337",262.5,"1,400",445,,,,,,,,,,,,
,9,90,8.035,27.61,723,"1,335",262.5,"1,420",445,,,,,,,,,,,,
,10,90,7.687,27.21,692,"1,335",262.3,"1,440",445,,,,,,,,,,,,
,11,90.5,7.912,24.5,716,"1,333",262.3,"1,490",450,,,,,,,,,,,,
,12,90,7.91,29.45,712,"1,327",262.2,"1,500",450,,,,,,,,,,,,
,13,90,7.852,26.08,707,"1,330",262.2,"1,541",450,,,,,,,,,,,,
,14,89.5,8.525,26.51,763,"1,328",262.1,"1,541",450,,,,,,,,,,,,
,15,90,8.275,30.3,745,"1,321",262.5,"1,542",470,,,,,,,,,,,,
,16,90,7.898,30.01,711,"1,322",262,"1,537",470,,,,,,,,,,,,
,17,90,7.834,31.97,705,"1,316",262.2,"1,523",470,,,,,,,,,,,,
,18,90,7.963,28.32,717,"1,313",262.2,"1,584",470,,,,,,,,,,,,
,19,90,7.641,29.3,688,"1,313",262.2,"1,574",470,,,,,,,,,,,,
,20,90,7.714,32.62,694,"1,296",262.5,"1,584",470,,,,,,,,,,,,
,21,90,7.505,32.37,675,931,262.5,"1,652",470,,,,,,,,,,,,
TSSR12207V009,1,91,7.694,32.42,701,428,262.1,"1,115",485,1st-1,10,12.96,7.97,7.24,5.89,0.491,0.87,5.5,5.4,69%,78
,2,90.6,7.672,34.46,695,"1,327",262.2,"1,129",490,1st-2,24,,7.79,,6.37,0.484,,5.69,5.21,73%,96
,3,91,7.536,33.06,686,"1,348",262.2,"1,143",490,2nd,50,,8.03,,6.08,0.495,,5.92,5.48,74%,126
,4,91.5,7.534,33.64,689,"1,343",262.3,"1,144",485,3rd-1,66,,7.91,,6.15,0.489,,6.16,5.96,78%,78
,5,90.1,7.818,34.19,704,"1,351",262.3,"1,160",485,3rd-2,82,,8.01,,7.09,0.491,,6.22,6,78%,
,6,91,7.647,34.54,696,"1,352",262.3,"1,167",485,4th,114,,7.81,,6.51,0.486,,6.5,6.1,83%,
,7,90.3,7.72,33.45,697,"1,352",262.3,"1,168",485,5th,124,,8.08,,6.69,0.484,,5.58,5.52,69%,
,8,90.5,7.863,31.98,712,"1,349",262.3,"1,182",480,,,,,,,,,,,,
,9,90,7.885,31.71,710,"1,348",262.3,"1,180",480,,,,,,,,,,,,
,10,90.7,7.704,32.41,699,"1,348",262.3,"1,183",480,,,,,,,,,,,,
,11,91,7.891,32.07,718,"1,348",262.2,"1,192",480,,,,,,,,,,,,
,12,91,7.701,31.37,701,"1,350",262.3,"1,288",475,,,,,,,,,,,,
,13,90.5,7.906,30.18,715,"1,349",262,"1,195",475,,,,,,,,,,,,
,14,90.5,7.733,31.91,700,"1,349",262.2,"1,185",475,,,,,,,,,,,,
,15,90,7.864,30.67,708,"1,348",262.3,"1,180",475,,,,,,,,,,,,
,16,91,7.903,33.01,719,"1,348",262.3,"1,175",475,,,,,,,,,,,,
,17,90.5,7.718,31.69,698,"1,351",262.3,"1,188",475,,,,,,,,,,,,
,18,90.5,7.78,32.24,704,"1,351",262.2,"1,165",475,,,,,,,,,,,,
,19,91,7.985,29.59,727,"1,352",262.4,"1,138",455,,,,,,,,,,,,
,20,90,8.075,30.06,727,"1,351",262.2,"1,145",455,,,,,,,,,,,,
,21,91.3,8.146,31.93,743,"1,340",262,"1,135",455,,,,,,,,,,,,
,22,90.1,8.451,30.1,762,"1,343",262,"1,134",455,,,,,,,,,,,,
,23,90.4,8.255,31.25,747,"1,343",262,"1,132",455,,,,,,,,,,,,
TSSR12207V010,1,91,7.779,30.93,708,"1,353",262,"1,133",455,1st,18,13.61,8.03,7.06,6.35,0.495,0.99,5.61,5.28,70%,101
,2,91.4,7.707,30.56,704,"1,339",262.3,"1,132",455,2nd,50,,7.94,,6.78,0.488,,5.64,5.18,71%,129
,3,91,7.753,28.33,706,"1,352",262,"1,130",455,3rd-1,60,,7.88,,6.79,0.485,,5.65,5.39,72%,145
,4,90.6,7.735,30.75,701,"1,349",262,"1,146",455,3rd-2,74,,8.01,,6.55,0.493,,5.54,5.41,69%,109
,5,91,7.706,31.24,701,"1,351",262,"1,150",455,4th,90,,7.96,,6.89,0.481,,5.96,5.71,75%,
,6,91,7.706,29.54,701,"1,349",262.3,"1,153",455,5th,122,,7.92,,6.97,0.484,,5.33,5.14,67%,
,7,90.8,8.112,30.74,737,"1,344",262,"1,174",455,6th,132,,7.71,,7.1,0.479,,5.82,5.51,75%,
,8,91,7.976,29.48,725,"1,345",262.2,"1,172",455,,,,,,,,,,,,
,9,90.5,7.948,29.16,719,"1,350",262.2,"1,174",455,,,,,,,,,,,,
,10,90.5,7.711,29.14,698,"1,349",262.2,"1,174",455,,,,,,,,,,,,
,11,91,7.797,30.53,709,"1,347",262.1,"1,175",455,,,,,,,,,,,,
,12,91,7.722,29.31,703,"1,350",262.1,"1,180",455,,,,,,,,,,,,
,13,91,7.757,29.53,706,"1,348",262.2,"1,183",455,,,,,,,,,,,,
,14,91,7.739,30.84,704,"1,347",262.3,"1,173",455,,,,,,,,,,,,
,15,91,8.014,30.74,729,"1,348",262.3,"1,172",455,,,,,,,,,,,,
,16,91,7.712,30,702,"1,349",262.3,"1,179",455,,,,,,,,,,,,
,17,90.5,7.91,29.86,715,"1,347",262.2,"1,181",455,,,,,,,,,,,,
,18,90.5,8.132,28.47,736,"1,347",262.2,"1,197",455,,,,,,,,,,,,
,19,90.5,7.71,29.21,698,"1,343",262.3,"1,200",465,,,,,,,,,,,,
,20,90.5,7.672,30.29,694,"1,338",262.3,"1,210",465,,,,,,,,,,,,
,21,91,7.667,30.22,697,"1,346",262.2,"1,205",465,,,,,,,,,,,,
,22,90.5,7.796,29.35,706,"1,340",262.2,"1,212",460,,,,,,,,,,,,
,23,90.5,7.938,27.96,719,"1,345",262.2,"1,229",460,,,,,,,,,,,,
,24,90.5,8.038,30.21,727,"1,342",262,"1,222",460,,,,,,,,,,,,
TSSR12207V011,1,90.5,8.238,31.38,745,"1,334",259,"1,288",465,1st-1,4,12.77,7.91,7,7.07,0.493,0.87,5.98,5.83,76%,110
,2,90.5,7.901,30.54,715,"1,335",259,"1,294",465,1st-2,14,,7.97,,6.65,0.497,,6.12,5.83,77%,102
,3,90,7.869,30.49,708,"1,332",259,"1,297",465,2nd,39,,8.03,,7.09,0.484,,6.16,5.99,77%,
,4,90,7.864,32.69,707,"1,330",259,"1,300",465,3rd-1,71,,7.91,,7.24,0.495,,6.22,5.91,79%,
,5,90,8.245,32.97,743,"1,335",259,"1,293",465,3rd-2,88,,8.01,,6.92,0.484,,6.27,5.97,78%,
,6,90,7.829,31.56,704,"1,332",259,"1,292",465,4th,120,,7.93,,7.27,0.482,,5.57,5.53,70%,
,7,90,8.035,32.04,723,"1,337",259.1,"1,301",465,,,,,,,,,,,,
