Lot NO,Melt No,Melt Denier,Melt g/den,Melt (%),Melt (gf),Melt Weight(g),Melt temp,Pack Press (psi),"1 G/R Speed
(mpm)","Batch
No.","Spool
No.",Coating Straight,"Coating
EP","Coating
USP","Coating
Knot security","Coating
Diameter","Coating
Tie-down",Fast 1W Avg,Fast 1W Min ,Fast 1W %,Moisture
,17,91,8.001,33.95,728,"1,347",260.4,"1,045",485,,,,,,,,,,,,
,18,90.5,7.68,34.06,695,"1,351",260.5,"1,043",485,,,,,,,,,,,,
,19,90,7.69,31.92,692,"1,348",260.4,"1,040",485,,,,,,,,,,,,
,20,91,7.815,32.11,711,"1,341",260.4,"1,035",485,,,,,,,,,,,,
,21,91,8.08,32.62,735,"1,344",260.4,"1,020",485,,,,,,,,,,,,
,22,90.2,8.477,33.24,765,"1,341",260.4,"1,011",485,,,,,,,,,,,,
,23,92,7.905,35.05,727,"1,342",260.6,"1,024",480,,,,,,,,,,,,
,24,90,7.64,33.23,688,813,260.5,"1,020",480,,,,,,,,,,,,
TSSR12201V009,1,91,7.647,31.73,696,"1,141",260,948,480,1st,23,12.65,7.82,7.23,6.54,0.491,1.1,6.03,5.86,77%,45
,2,90.4,8.232,33.69,745,"1,342",262.5,924,465,2nd,47,,8.04,,6.39,0.49,,5.76,5.64,72%,42
,3,91.3,8.021,33.22,732,"1,345",262.7,930,465,3rd,71,,8.02,,6.55,0.489,,5.64,5.04,70%,54
,4,91.5,7.836,35.13,717,"1,342",263,933,465,4th,119,,7.88,,7.11,0.483,,5.89,5.57,75%,
,5,91,7.715,34.39,702,"1,346",262.3,945,465,,,,,,,,,,,,
,6,91,7.642,32.18,696,"1,343",262.3,960,465,,,,,,,,,,,,
,7,90.5,7.886,34.69,714,"1,341",262.3,950,465,,,,,,,,,,,,
,8,90,7.911,31.61,712,"1,348",262.3,960,465,,,,,,,,,,,,
,9,91,7.653,33.5,697,"1,341",262.5,965,465,,,,,,,,,,,,
,10,90,7.774,33.76,699,"1,334",262.5,966,465,,,,,,,,,,,,
,11,90.2,7.924,34.53,715,"1,343",262.5,966,465,,,,,,,,,,,,
,12,91,7.613,32.02,692,"1,342",262.6,964,465,,,,,,,,,,,,
,13,90.5,7.833,32.5,709,"1,348",262.5,965,465,,,,,,,,,,,,
,14,91.4,7.618,32.48,697,"1,351",262.5,987,465,,,,,,,,,,,,
,15,91.4,7.51,30.67,692,"1,348",262.5,980,465,,,,,,,,,,,,
,16,91,7.962,33.07,725,"1,347",262.8,978,465,,,,,,,,,,,,
,17,90.4,7.973,32.96,720,"1,347",262.8,977,465,,,,,,,,,,,,
,18,91.6,7.514,31.41,688,"1,346",262.8,970,465,,,,,,,,,,,,
,19,91,7.661,31.77,697,"1,351",262.8,977,465,,,,,,,,,,,,
,20,90.8,7.511,32.61,682,"1,344",262.7,978,465,,,,,,,,,,,,
,21,91.6,7.994,31.76,732,"1,350",262.8,988,460,,,,,,,,,,,,
,22,91,7.811,29.85,711,"1,345",262.9,977,460,,,,,,,,,,,,
,23,90,7.706,32.31,693,574,262.9,978,460,,,,,,,,,,,,
TSSR12201V010,1,91.3,8.481,34.17,775,"1,353",262.9,985,460,1st,10,13.42,7.92,7.29,6.66,0.484,0.98,5.64,5.47,71%,84
,2,90.2,8.158,33.07,736,"1,343",262.9,984,460,2nd,43,,8.43,,6.64,0.496,,5.96,5.76,71%,101
,3,90.5,8.194,32.65,742,"1,343",262.8,980,460,3rd-1,57,,8.09,,7.18,0.482,,6.04,5.91,75%,89
,4,90.2,8.031,30.77,725,"1,341",263,980,460,3rd-2,75,,8.44,,7.19,0.492,,5.95,5.5,70%,
,5,91.5,8.179,31.82,748,"1,346",263,977,460,4th,108,,8.17,,7.11,0.486,,5.74,5.31,70%,
,6,90.6,8.227,31.81,745,"1,344",262.7,987,460,5th,123,,8.14,,6.79,0.488,,6.15,55.92,76%,
,7,90.5,8.062,33.64,729,"1,344",262.8,990,460,,,,,,,,,,,,
,8,90.7,7.662,31.77,695,"1,343",263,975,460,,,,,,,,,,,,
,9,90.3,7.946,30.87,718,"1,345",262.9,949,450,,,,,,,,,,,,
,10,90.5,7.97,30.89,721,"1,348",262.9,950,450,,,,,,,,,,,,
,11,90.2,8.219,31.38,742,"1,339",263,959,450,,,,,,,,,,,,
,12,91,7.908,32.3,720,"1,346",263,955,450,,,,,,,,,,,,
,13,91,8.077,32.28,735,"1,350",263,957,450,,,,,,,,,,,,
,14,91.5,7.734,30.74,708,"1,355",262.5,966,450,,,,,,,,,,,,
,15,91.7,8.005,32.54,734,"1,348",262.4,969,450,,,,,,,,,,,,
,16,91.3,8.47,30.23,682,"1,347",262.4,971,450,,,,,,,,,,,,
,17,90,7.905,33.06,712,"1,345",262.4,960,450,,,,,,,,,,,,
,18,91,7.826,30.34,712,"1,348",262.4,946,445,,,,,,,,,,,,
,19,91,8.325,33.44,757,"1,347",262.6,965,445,,,,,,,,,,,,
